Date,Open,High,Low,Close,Volume,,,,,,
13-11-2000,310.05,310.05,301.15,302.4,2333597,,,,,,
14-11-2000,302.05,311.9,302.05,311.05,3676980,,,,,,
15-11-2000,315.95,317.4,310.1,313.1,3060728,,,,,,
16-11-2000,315,315.4,309.35,311.65,3259405,,,,,,
17-11-2000,311,311.45,307.5,310.85,3391993,,,,,,
20-11-2000,310.55,312.6,309.05,310.2,1679820,,,,,,
21-11-2000,312.75,312.75,307.6,309.1,3751462,,,,,,
22-11-2000,310,311.5,307.6,308.15,1146693,,,,,,
23-11-2000,307,312.5,305.25,311.15,2550499,,,,,,
24-11-2000,312.5,316.9,312,313.35,3370644,,,,,,
27-11-2000,314,319.9,313.5,318.7,3079656,,,,,,
28-11-2000,319.95,330.25,317.25,329.5,6766122,,,,,,
29-11-2000,328,332.4,324,327.2,5186104,,,,,,
30-11-2000,327,330.25,325.5,328.15,3132332,,,,,,
01-12-2000,327,330.25,324.5,328.1,3623292,,,,,,
04-12-2000,328.9,335.4,328.9,332.6,4911907,,,,,,
05-12-2000,334.5,339.8,334.3,338.7,3777774,,,,,,
06-12-2000,344.7,344.7,336.6,337.25,3121812,,,,,,
07-12-2000,336.4,340.35,335.75,337.55,2179581,,,,,,
08-12-2000,338,341.9,337.15,339.4,4262617,,,,,,
11-12-2000,340.9,346.95,340,345.95,6063721,,,,,,
12-12-2000,347,347.2,343.5,344.3,2380095,,,,,,
13-12-2000,346,349.55,344.4,347.4,4074879,,,,,,
14-12-2000,347.9,352.8,345,346.3,6316696,,,,,,
15-12-2000,345,345,336.3,337.95,4013696,,,,,,
18-12-2000,335,342.9,330.05,341.3,3808996,,,,,,
19-12-2000,343.25,344.6,338.1,339.4,3520914,,,,,,
20-12-2000,345,345,337.4,341.85,2094053,,,,,,
21-12-2000,340.1,344.95,336.55,342.3,4246752,,,,,,
22-12-2000,344.5,347,337.25,338.2,3558819,,,,,,
26-12-2000,337.05,341.9,326.55,328,3814774,,,,,,
27-12-2000,326,335,324,333.05,4007710,,,,,,
28-12-2000,335.8,340.2,332.8,338.8,4042545,,,,,,
29-12-2000,338.45,340.7,337.05,338.95,2686465,,,,,,
01-01-2001,340,343.65,339,341.75,3008237,,,,,,
02-01-2001,340.35,359,340.25,354.3,6623970,,,,,,
03-01-2001,355,361.7,353,360.05,8844088,,,,,,
04-01-2001,359.1,366.9,356.2,357.8,5982701,,,,,,
05-01-2001,356.5,366.8,356.5,364.3,7460148,,,,,,
08-01-2001,362.5,367.45,357.25,360.2,6842731,,,,,,
09-01-2001,359.4,361.8,357.1,357.95,4513682,,,,,,
10-01-2001,358.55,361.45,349.15,351.7,4730779,,,,,,
11-01-2001,352.5,357.3,351,355.8,4070774,,,,,,
12-01-2001,356.95,358.4,354,354.55,2402573,,,,,,
15-01-2001,354.05,356.5,352,355.55,1977779,,,,,,
16-01-2001,355.55,370.4,355.55,368.4,10397087,,,,,,
17-01-2001,371.1,371.45,361.25,362.05,4164213,,,,,,
18-01-2001,363,366.5,361.35,364.75,2730251,,,,,,
19-01-2001,365.1,373.8,365.1,369.1,6563871,,,,,,
22-01-2001,369,375.9,368.1,374.5,7587620,,,,,,
23-01-2001,374.75,384.25,374.75,381.65,8274005,,,,,,
24-01-2001,384.4,384.5,378.5,380.35,5461105,,,,,,
25-01-2001,381.5,383.5,376.65,381.7,4489764,,,,,,
29-01-2001,380,380,361,377.65,5074253,,,,,,
30-01-2001,378.55,391,378.55,389.65,10513293,,,,,,
31-01-2001,405,405,381,384.6,5900160,,,,,,
01-02-2001,383.5,388.6,372.7,386.15,12741600,,,,,,
02-02-2001,384.5,395.9,383.95,394.5,10129102,,,,,,
05-02-2001,393.1,400.5,390.25,399.15,10670248,,,,,,
06-02-2001,400,402.5,396.25,397.85,6048694,,,,,,
07-02-2001,395.65,397.95,392,393.45,3637077,,,,,,
08-02-2001,391.2,397.45,390.5,395.95,4783393,,,,,,
09-02-2001,397,402,394.25,398.9,6970040,,,,,,
12-02-2001,396.25,406.4,395.25,400.55,6589212,,,,,,
13-02-2001,402,411.9,397.5,410.05,8532878,,,,,,
14-02-2001,414.85,417.4,409.55,415.55,8956667,,,,,,
15-02-2001,415,425.4,413,422.7,14706855,,,,,,
16-02-2001,423.9,429.35,420,422.45,12684331,,,,,,
19-02-2001,423,427.05,418.5,425.35,6365686,,,,,,
20-02-2001,424,426.55,421,422.8,7155885,,,,,,
21-02-2001,423.05,424.85,412.1,414.1,7890074,,,,,,
22-02-2001,413,419,408.6,414.65,7787291,,,,,,
23-02-2001,415.05,420.6,409.6,411.3,7727518,,,,,,
26-02-2001,410.2,412.9,403.25,406.25,6221601,,,,,,
27-02-2001,407.5,409.25,397.3,402.1,5610643,,,,,,
28-02-2001,402,420,400.65,414.1,11049522,,,,,,
01-03-2001,416,446,416,438.2,15937433,,,,,,
02-03-2001,440,451,415.15,419.1,13416273,,,,,,
05-03-2001,420.5,425,402.5,408.65,9439887,,,,,,
07-03-2001,412,424.7,398.6,412,7545003,,,,,,
08-03-2001,413.45,420.15,409.05,413.4,4430539,,,,,,
09-03-2001,411.1,411.1,398.65,409.5,3926498,,,,,,
12-03-2001,409.1,412,402,408,3671174,,,,,,
13-03-2001,401.05,418.5,375.4,388.1,5264998,,,,,,
14-03-2001,389,404.9,385.15,399.4,3372451,,,,,,
15-03-2001,393,401.45,388.1,397.25,2484258,,,,,,
16-03-2001,394,399.25,379.1,384,3203308,,,,,,
19-03-2001,381,388,375.6,382.5,2258808,,,,,,
20-03-2001,384,384.75,370.5,373.35,1821965,,,,,,
21-03-2001,376.5,403.25,365.25,401.3,3322003,,,,,,
22-03-2001,405.35,408.8,391,393.4,2868227,,,,,,
23-03-2001,394,400.65,374.3,379.55,3543428,,,,,,
26-03-2001,380,386.6,376.1,384.2,1771673,,,,,,
27-03-2001,383,394.4,381.7,390.7,2935850,,,,,,
28-03-2001,395,405,393.6,402,2667459,,,,,,
29-03-2001,401.25,405.85,394,396.45,3813078,,,,,,
30-03-2001,394.1,396.7,386.65,389.55,2456373,,,,,,
02-04-2001,386.5,393.8,374.55,391.05,2789829,,,,,,
03-04-2001,390,395,386,390.85,1537797,,,,,,
04-04-2001,380.15,387.7,378.25,383.1,1451637,,,,,,
06-04-2001,383,392.95,381,382.75,1167280,,,,,,
09-04-2001,380.2,383.7,351.75,357.25,4892591,,,,,,
10-04-2001,355.2,355.2,326.3,328.6,3654586,,,,,,
11-04-2001,330,337.55,306.65,324.25,5682346,,,,,,
12-04-2001,318,318,292.1,297.35,6499976,,,,,,
16-04-2001,292.6,313,290,308.15,4508901,,,,,,
17-04-2001,307,321.8,306,315.2,3952056,,,,,,
18-04-2001,314,329.9,303,327.2,6574312,,,,,,
19-04-2001,329.95,378.6,329.95,369.75,10637686,,,,,,
20-04-2001,369.9,374.9,353.1,358.85,5761492,,,,,,
23-04-2001,355,363.4,350.75,354.1,3256283,,,,,,
24-04-2001,351.2,353,344.5,349.45,2665902,,,,,,
25-04-2001,350,363,348,358.65,4960851,,,,,,
26-04-2001,360.45,365.9,351.8,354.85,5102487,,,,,,
27-04-2001,351,351,332.6,345.35,5167914,,,,,,
30-04-2001,348.7,353.4,334,342.5,3325738,,,,,,
02-05-2001,342,346.5,336.2,342.3,2262729,,,,,,
03-05-2001,341,348.8,339.65,343.95,2340189,,,,,,
04-05-2001,343.15,346,341,343.7,1256387,,,,,,
07-05-2001,343,347.4,339.55,340.9,1124575,,,,,,
08-05-2001,340.5,348.2,340.05,346.1,2199889,,,,,,
09-05-2001,347,357.8,346.55,351.75,4449038,,,,,,
10-05-2001,351.9,356.7,350.6,355.15,2180184,,,,,,
11-05-2001,356.45,361.3,354.15,355.35,2230650,,,,,,
14-05-2001,355,362.05,354.65,359.8,1776515,,,,,,
15-05-2001,357,372.4,348.15,370.8,4649081,,,,,,
16-05-2001,372.6,374.8,365.15,366.95,3317202,,,,,,
17-05-2001,368.9,385.05,368.9,382.55,5799635,,,,,,
18-05-2001,384.7,384.85,373,374.85,3017492,,,,,,
21-05-2001,372,381.5,371.6,376.65,2904191,,,,,,
22-05-2001,377.85,381.5,375.7,377.45,2107258,,,,,,
23-05-2001,377.05,383.25,376.85,381.05,1885691,,,,,,
24-05-2001,381,394.4,381,392.9,6751945,,,,,,
25-05-2001,393.95,397.7,391.05,393.55,4265228,,,,,,
28-05-2001,394,401.9,394,398.8,2605823,,,,,,
29-05-2001,399,406.95,397,403.4,3057001,,,,,,
30-05-2001,406,406.7,389.95,391.55,3905928,,,,,,
31-05-2001,389.6,393.8,383,392.3,3062884,,,,,,
01-06-2001,393.25,394.25,378.1,380.25,3076039,,,,,,
04-06-2001,382,382.95,371.25,374.75,2222897,,,,,,
05-06-2001,372.75,377.8,370.5,372.95,2025266,,,,,,
06-06-2001,374.9,376,363.85,365.55,2829453,,,,,,
07-06-2001,367,367.45,357.15,364.2,3763376,,,,,,
08-06-2001,365,373.45,364.35,370.4,3596200,,,,,,
11-06-2001,370,372.45,366.1,370.7,2669682,,,,,,
12-06-2001,369.9,371.3,367.5,370.05,1379191,,,,,,
13-06-2001,371,376.9,370.05,375.4,2297910,,,,,,
14-06-2001,373.85,378.3,362.1,363.9,4651293,,,,,,
15-06-2001,362.1,362.1,353.1,357.6,3391469,,,,,,
18-06-2001,355.1,357,339.1,340.6,3960505,,,,,,
19-06-2001,340,348,339.65,346.85,2608036,,,,,,
20-06-2001,335,351,335,344.85,1863287,,,,,,
21-06-2001,344.75,350.45,340,341.1,3372739,,,,,,
22-06-2001,342,343.8,336.2,342.4,2226943,,,,,,
25-06-2001,340.7,343.1,335.55,341.45,1765526,,,,,,
26-06-2001,340.5,348.85,339,346.8,2028177,,,,,,
27-06-2001,346,359.9,342.8,358.1,3165398,,,,,,
28-06-2001,358,366.45,356.5,362.3,2752289,,,,,,
29-06-2001,362.5,373.45,360.1,368.5,1923989,,,,,,
02-07-2001,370.8,395,352.3,358.65,1007720,,,,,,
03-07-2001,349.6,352,324,329.4,4698452,,,,,,
04-07-2001,323,331.5,322,326.2,2820881,,,,,,
05-07-2001,332,336.4,328.05,331.75,2005530,,,,,,
06-07-2001,324,329.3,321,325.7,1224736,,,,,,
09-07-2001,324,330,316.1,327.2,2564180,,,,,,
10-07-2001,331.5,334.9,327,333.7,1783315,,,,,,
11-07-2001,332,340.75,329.1,336.6,1143594,,,,,,
12-07-2001,338.5,342.7,337.2,340.2,1247953,,,,,,
13-07-2001,341.75,350.75,332.3,344,2040818,,,,,,
16-07-2001,338.9,342,330,332,1533243,,,,,,
17-07-2001,329,336.4,325.1,333,1155950,,,,,,
18-07-2001,334.05,335.45,325,326.75,1483925,,,,,,
19-07-2001,325,326.45,321,324.1,1207297,,,,,,
20-07-2001,326,326.1,310.5,313.9,1828817,,,,,,
23-07-2001,310,316,300,313,139127,,,,,,
24-07-2001,301.2,316.5,301.2,314.35,992324,,,,,,
25-07-2001,314.5,315.45,308.7,310.7,1224927,,,,,,
26-07-2001,308,312.4,302.8,304.85,2175744,,,,,,
27-07-2001,303.5,307.95,300,306.05,1281491,,,,,,
30-07-2001,305.45,314,303.3,312.85,1499863,,,,,,
31-07-2001,314.75,320.75,303.65,318.85,3962478,,,,,,
01-08-2001,320.95,322.25,312.25,315.5,1875223,,,,,,
02-08-2001,314,320.9,309.55,317.8,1627268,,,,,,
03-08-2001,317.5,321.1,310.3,317.2,3430847,,,,,,
06-08-2001,317,324.65,315.25,323.2,1825026,,,,,,
07-08-2001,321.05,330,321.05,329.15,2348302,,,,,,
08-08-2001,324.9,331,322.55,328.45,1784988,,,,,,
09-08-2001,326,339.75,325,335.8,2330234,,,,,,
10-08-2001,338,341.45,334.1,339.8,2537055,,,,,,
13-08-2001,339.5,340.9,324.6,326.55,1985420,,,,,,
14-08-2001,329.7,329.7,319.65,321.05,2950685,,,,,,
16-08-2001,323,331.45,321,326.9,2878695,,,,,,
17-08-2001,327,328.8,316.25,317.55,2705062,,,,,,
20-08-2001,315,321.9,314.55,317.85,1979019,,,,,,
21-08-2001,318,322.7,318,318.9,1852655,,,,,,
23-08-2001,319.9,338,316.1,317,1741427,,,,,,
24-08-2001,318,318.25,314.2,315.15,1494388,,,,,,
27-08-2001,318,319.9,313.1,315.3,1311019,,,,,,
28-08-2001,313.9,317.7,312.2,312.85,1031974,,,,,,
29-08-2001,312,320.25,311.9,318.4,3467938,,,,,,
30-08-2001,317.25,321.4,315,319.1,1979924,,,,,,
31-08-2001,318.4,319,309.55,311.15,2813082,,,,,,
03-09-2001,311,315,311,312.7,1154757,,,,,,
04-09-2001,312.9,316.4,308.65,314.35,1597075,,,,,,
05-09-2001,313,316,309.8,311.15,842904,,,,,,
06-09-2001,318,318,309.5,311.6,1211579,,,,,,
07-09-2001,313.7,313.7,306.05,307.7,1461504,,,,,,
10-09-2001,307,309.4,303.25,304.15,903087,,,,,,
11-09-2001,305.5,307,303,305.05,1047783,,,,,,
12-09-2001,295,301.5,276.05,297.9,2483919,,,,,,
13-09-2001,300,303,288.05,290.3,1442511,,,,,,
14-09-2001,291.7,291.7,261.3,261.3,2255672,,,,,,
17-09-2001,252.25,265.5,241,262.65,7144868,,,,,,
18-09-2001,260,278.5,250,253.15,6214991,,,,,,
19-09-2001,260,261.5,243.15,246.9,3856295,,,,,,
20-09-2001,241.9,245.5,231.8,239.9,4366253,,,,,,
21-09-2001,233.65,234,215.95,216.65,5247232,,,,,,
24-09-2001,217.5,226.85,214.6,221.15,7276553,,,,,,
25-09-2001,225.1,229,203.6,206.6,7120552,,,,,,
26-09-2001,209.9,227.3,209.9,227.15,6554659,,,,,,
27-09-2001,214.95,244.8,214.95,241.7,9596340,,,,,,
28-09-2001,244,265.9,238.5,264.6,10410047,,,,,,
01-10-2001,264,271.5,253.3,259.55,14585462,,,,,,
03-10-2001,261,261.9,242.1,246.6,7136734,,,,,,
04-10-2001,249.05,255.8,243.55,249.45,10646039,,,,,,
05-10-2001,249,257,243.6,250.65,5101125,,,,,,
08-10-2001,242,255.95,240.5,252.35,7420721,,,,,,
09-10-2001,255,257.8,249.2,253.1,7396572,,,,,,
